329,961
84,900
535,295
661,451
130,685
585,702
633,577
121,809
632,86
835,931
205,20
511,974
952,371
209,121
463,579
225,202
113,221
716,406
734,837
251,521
91,175
966,368
947,995
687,211
116,720
279,395
925,315
614,382
760,606
16,225
393,695
831,391
92,446
682,131
86,638
982,402
653,591
217,955
485,869
380,340
906,530
420,844
641,575
514,178
665,576
208,863
852,75
189,37
352,136
491,829
264,529
448,143
262,528
421,87
963,853
226,829
996,493
591,135
105,213
787,233
753,617
184,284
145,827
405,417
996,727
13,775
354,454
503,945
474,658
158,611
204,608
47,918
666,997
37,643
515,922
513,871
357,444
818,882
83,562
342,986
935,286
666,551
654,75
305,962
553,61
309,643
265,243
747,710
951,770
527,885
854,583
17,730
886,490
845,42
2,42
611,215
904,52
436,794
614,511
940,233
